ID,POL,GODINE,TIP,WiFi servis,Pogodnost dolaska/odlaska,Onlajn rezervisanje,Lokacija hotela,Usluga hrane,Komfor boravka,Zabava u zajednickim prostorijama,Usluga checkin i checkout,Drugi servisi,?isto?a,ZADOVOLJSTVO
70172,Male,13,aviation,3,4,3,1,5,5,5,4,5,5,neutral or dissatisfied
5047,Male,25,tourism,3,2,3,3,1,1,1,1,4,1,neutral or dissatisfied
110028,Female,26,tourism,2,2,2,2,5,5,5,4,4,5,satisfied
24026,Female,25,tourism,2,5,5,5,2,2,2,1,4,2,neutral or dissatisfied
119299,Male,61,aviation,3,3,3,3,4,5,3,3,3,3,satisfied
111157,Female,26,business,3,4,2,1,1,1,1,4,4,1,neutral or dissatisfied
82113,Male,47,academic,2,4,2,3,2,2,2,3,5,2,neutral or dissatisfied
96462,Female,52,aviation,4,3,4,4,5,5,5,4,5,4,satisfied
79485,Female,41,tourism,1,2,2,2,4,3,1,4,1,2,neutral or dissatisfied
65725,Male,20,academic,3,3,3,4,2,3,2,4,3,2,neutral or dissatisfied
34991,Female,24,academic,4,5,5,4,2,2,2,3,5,2,neutral or dissatisfied
51412,Female,12,tourism,2,4,2,2,1,1,1,5,5,1,neutral or dissatisfied
98628,Male,53,tourism,1,4,4,4,1,1,1,4,4,1,neutral or dissatisfied
83502,Male,33,academic,4,2,4,3,4,4,4,2,2,4,satisfied
95789,Female,26,aviation,3,2,3,2,2,2,2,2,1,2,neutral or dissatisfied
100580,Male,13,personal,2,1,2,3,4,1,4,1,3,4,neutral or dissatisfied
71142,Female,26,business,3,3,3,3,4,4,4,5,4,4,satisfied
127461,Male,41,tourism,4,4,2,4,4,4,5,3,5,5,satisfied
70354,Female,45,academic,4,4,4,4,3,5,5,3,5,4,satisfied
66246,Male,38,tourism,2,3,3,2,5,5,5,3,2,5,neutral or dissatisfied
39076,Male,9,personal,2,4,2,4,2,1,2,4,3,2,neutral or dissatisfied
22434,Female,17,tourism,3,1,3,3,5,5,5,3,4,5,neutral or dissatisfied
43510,Female,43,business,3,5,3,5,5,5,3,3,3,4,neutral or dissatisfied
114090,Female,58,tourism,4,5,4,5,4,4,4,2,4,2,neutral or dissatisfied
105420,Female,23,personal,5,0,5,1,1,1,1,3,5,1,satisfied
102956,Male,57,personal,4,4,4,1,5,5,5,4,5,5,neutral or dissatisfied
18510,Female,33,personal,1,1,1,1,1,3,4,5,4,2,satisfied
14925,Female,49,business,4,4,4,4,2,1,4,2,4,2,satisfied
118319,Female,36,tourism,3,1,1,1,1,1,3,2,3,2,neutral or dissatisfied
75460,Male,22,business,3,2,3,3,3,1,3,4,2,3,neutral or dissatisfied
48492,Female,31,personal,4,4,4,4,5,5,5,1,5,5,satisfied
27809,Female,15,academic,2,2,2,3,5,5,5,2,4,5,neutral or dissatisfied
70594,Female,35,academic,4,5,4,4,4,4,3,4,3,4,satisfied
30089,Female,67,academic,4,5,4,1,2,5,5,5,5,5,neutral or dissatisfied
